,YYYY-MM,Peak Demand (MW),Grid
163,2004-9,6097.0,Luzon
164,2005-9,5998.0,Luzon
165,2006-9,6195.0,Luzon
166,2007-9,6416.0,Luzon
167,2008-9,6495.58,Luzon
168,2009-9,6873.0,Luzon
169,2010-9,7057.0,Luzon
170,2011-9,7107.0,Luzon
171,2012-9,7293.0,Luzon
172,2013-9,7966.0,Luzon
173,2014-9,8005.0,Luzon
174,2015-9,8738.0,Luzon
175,2016-9,9082.0,Luzon
176,2017-9,9806.0,Luzon
177,2018-9,10035.0,Luzon
178,2019-9,10392.0,Luzon
179,2020-9,10570.0,Luzon
180,2001-10,5460.0,Luzon
181,2002-10,5687.0,Luzon
182,2003-10,5878.0,Luzon
183,2004-10,5916.0,Luzon
184,2005-10,5843.0,Luzon
185,2006-10,5845.0,Luzon
186,2007-10,6155.0,Luzon
187,2008-10,6627.4,Luzon
188,2009-10,6530.0,Luzon
189,2010-10,7074.0,Luzon
190,2011-10,7255.0,Luzon
191,2012-10,7421.0,Luzon
192,2013-10,7564.0,Luzon
193,2014-10,7993.0,Luzon
194,2015-10,8624.0,Luzon
195,2016-10,9005.0,Luzon
196,2017-10,9483.0,Luzon
197,2018-10,10346.0,Luzon
198,2019-10,10845.0,Luzon
199,2020-10,10344.0,Luzon
200,2001-11,5319.0,Luzon
201,2002-11,5712.0,Luzon
202,2003-11,5957.0,Luzon
203,2004-11,5987.0,Luzon
204,2005-11,5889.0,Luzon
205,2006-11,5974.0,Luzon
206,2007-11,6137.0,Luzon
207,2008-11,6492.02,Luzon
208,2009-11,6662.0,Luzon
209,2010-11,6851.0,Luzon
210,2011-11,7223.0,Luzon
211,2012-11,7425.0,Luzon
212,2013-11,7488.0,Luzon
213,2014-11,8033.0,Luzon
214,2015-11,8498.0,Luzon
215,2016-11,8900.0,Luzon
216,2017-11,9590.0,Luzon
217,2018-11,10088.0,Luzon
218,2019-11,10413.0,Luzon
219,2020-11,9886.0,Luzon
220,2001-12,5305.0,Luzon
221,2002-12,5707.0,Luzon
222,2003-12,5904.0,Luzon
223,2004-12,5900.0,Luzon
224,2005-12,5910.0,Luzon
225,2006-12,5813.0,Luzon
226,2007-12,6195.05,Luzon
227,2008-12,6376.46,Luzon
228,2009-12,6575.0,Luzon
229,2010-12,6946.0,Luzon
230,2011-12,7178.0,Luzon
231,2012-12,7395.0,Luzon
232,2013-12,7670.0,Luzon
233,2014-12,7996.0,Luzon
234,2015-12,8487.0,Luzon
235,2016-12,8774.0,Luzon
236,2017-12,9441.0,Luzon
237,2018-12,9987.0,Luzon
238,2019-12,10111.0,Luzon
239,2020-12,9634.0,Luzon
240,2001-1,761.0,Visayas
241,2002-1,781.0,Visayas
242,2003-1,797.3,Visayas
243,2004-1,865.9,Visayas
244,2005-1,890.0,Visayas
245,2006-1,906.36,Visayas
246,2007-1,946.26,Visayas
247,2008-1,1067.23,Visayas
248,2009-1,1122.06,Visayas
249,2010-1,1218.52,Visayas
250,2011-1,1323.7,Visayas
251,2012-1,1391.0300000000002,Visayas
252,2013-1,1462.81,Visayas
